date,is_home,opponent,gf,ga,result,home_team,away_team,home_score,away_score,year
1931-04-26,True,Republic of Ireland,1,1,D,Spain,Republic of Ireland,1,1,1931
1931-12-09,False,England,1,7,L,England,Spain,7,1,1931
1931-12-13,False,Republic of Ireland,5,0,W,Republic of Ireland,Spain,0,5,1931
1932-04-24,True,Yugoslavia,2,1,W,Spain,Yugoslavia,2,1,1932
1933-04-02,True,Portugal,3,0,W,Spain,Portugal,3,0,1933
1933-04-23,False,France,0,1,L,France,Spain,1,0,1933
1933-04-30,False,Yugoslavia,1,1,D,Yugoslavia,Spain,1,1,1933
1933-05-21,True,Bulgaria,13,0,W,Spain,Bulgaria,13,0,1933
1934-02-02,False,Catalonia,2,0,W,Catalonia,Spain,0,2,1934
1934-03-11,True,Portugal,9,0,W,Spain,Portugal,9,0,1934
1934-03-18,False,Portugal,2,1,W,Portugal,Spain,1,2,1934
1934-05-27,False,Brazil,3,1,W,Brazil,Spain,1,3,1934
1934-05-31,False,Italy,1,1,D,Italy,Spain,1,1,1934
1934-06-01,False,Italy,0,1,L,Italy,Spain,1,0,1934
1935-01-24,True,France,2,0,W,Spain,France,2,0,1935
1935-05-05,False,Portugal,3,3,D,Portugal,Spain,3,3,1935
1935-05-12,False,Germany,2,1,W,Germany,Spain,1,2,1935
1936-01-19,True,Austria,4,5,L,Spain,Austria,4,5,1936
1936-02-23,True,Germany,1,2,L,Spain,Germany,1,2,1936
1936-05-03,False,Switzerland,2,0,W,Switzerland,Spain,0,2,1936
1937-11-28,True,Portugal,1,2,L,Spain,Portugal,1,2,1937
1938-01-30,False,Portugal,0,1,L,Portugal,Spain,1,0,1938
1941-01-12,False,Portugal,2,2,D,Portugal,Spain,2,2,1941
1941-03-16,True,Portugal,5,1,W,Spain,Portugal,5,1,1941
1941-12-28,True,Switzerland,3,2,W,Spain,Switzerland,3,2,1941
1942-03-15,True,France,4,0,W,Spain,France,4,0,1942
1942-04-12,False,Germany,1,1,D,Germany,Spain,1,1,1942
1942-04-19,False,Italy,0,4,L,Italy,Spain,4,0,1942
1945-03-11,False,Portugal,2,2,D,Portugal,Spain,2,2,1945
1945-05-06,True,Portugal,4,2,W,Spain,Portugal,4,2,1945
1946-06-23,True,Republic of Ireland,0,1,L,Spain,Republic of Ireland,0,1,1946
